intent,expression
how are you,alles goe
how are you,alles goed
how are you,alles goed met jou
how are you,alles kits
how are you,ca va
how are you,cv?
how are you,heb je goed geslapen
how are you,hoe doet de bot het vandaag?
how are you,hoe gaat het
how are you,hoe gaat het met jou?
how are you,hoe gaat ie
how are you,hoe is het
how are you,hoe is het ermee?
how are you,hoe is het met jou?
how are you,hoe is het nog met je
how are you,hoe ist
how are you,hoe voel je je?
how are you,is het een goede dag vandaag?
how are you,voel je je goed?
how are you,wat weer is het vandaag
Greeting,Hallo?
Greeting,aan de slag
Greeting,begin eraan
Greeting,beste
Greeting,goedemiddag
Greeting,goedemorgen
Greeting,goedenavond
Greeting,goeiedag
Greeting,goeiemiddag
Greeting,goeiemorgen
Greeting,goeienavond
Greeting,hallo
Greeting,hallo daar
Greeting,hey
Greeting,hey daar
Greeting,hey hallo
Greeting,heykes
Greeting,hoi
Greeting,start
Greeting,vraagje
Yes,Ja
Yes,Ja graag
Yes,absoluut
Yes,akkoord
Yes,cava
Yes,correct
Yes,correct!
Yes,dat klopt
Yes,doe maar
Yes,goed
Yes,helemaal juist
Yes,ja hoor
Yes,ja idd
Yes,ja ja
Yes,ja!
Yes,jazeker
Yes,jep
Yes,juist
Yes,jup
Yes,ok
Yes,okay
Yes,oke
Yes,zeker
thank you,alles helder
thank you,bedankt
thank you,bedankt voor de hulp
thank you,bedankt voor je hulp
thank you,blij met je antwoord
thank you,daar kan ik mee verder
thank you,dank je
thank you,dank je wel
thank you,dankjewel
thank you,dat is indrukwekkend!
thank you,duidelijk
thank you,interessant om met je te praten
thank you,je heb me geholpen
thank you,je hebt me verdergeholpen
thank you,"leuk, dank je"
thank you,merci
thank you,onder de indruk
thank you,thanks
thank you,wat een goede ervaring
thank you,"wauw, cool, dankjewel"
who are you,ben ik aan het praten met een robot?
who are you,ben je een mens
who are you,ben je een mens?
who are you,ben je een robot
who are you,hoe heet jij?
who are you,is dit een mens?
who are you,is dit een robot?
who are you,met wie ben ik aan het praten
who are you,met wie ben ik aan het praten?
who are you,met wie praat ik?
who are you,wat ben jij
who are you,wat doe jij?
who are you,wat is dit?
who are you,wat voor iets ben jij?
who are you,wie ben je
who are you,wie ben je eigenlijk
who are you,wie ben je?
who are you,wie ben jij
who are you,wie ben jij?
who are you,wie is dit
tell me a joke,ben je een geestige bot?
tell me a joke,ben je een grappige bot?
tell me a joke,ben je hilarisch
tell me a joke,ben jij grappig?
tell me a joke,grapje
tell me a joke,ik wil een mop horen
tell me a joke,ik wil lachen
tell me a joke,ik wil nog eens hard lachen
tell me a joke,kan je mij eens laten lachen?
tell me a joke,ken je grapjes?
tell me a joke,ken je mopjes
tell me a joke,kun je me laten lachen?
tell me a joke,laat me eens goed lachen
tell me a joke,laat me lachen
tell me a joke,mopje
tell me a joke,vertel me een grap
tell me a joke,vertel me een mop
tell me a joke,wat voor grappen ken je?
tell me a joke,welke moppen ken jij?
tell me a joke,zeg eens iets grappigs
No,absoluut niet
No,absoluut niet!
No,dat is helemaal fout
No,fout
No,geen verdere vragen
No,geen vragen
No,geen vragen meer
No,geen vragen meer  bedankt
No,ik zit zonder vragen
No,nee
No,nee hoor
No,nee nee
No,nee zeker niet
No,neen
No,nergens mee
No,niet doen
No,niets
No,nope
No,verder niets
No,zeker niet
