intent;expression
No;nee
No;absoluut niet
No;nope
No;nee hoor
No;zeker niet
No;absoluut niet!
No;nee nee
No;fout
No;dat is helemaal fout
No;niet doen
No;geen vragen meer
No;ik zit zonder vragen
No;niets
No;nergens mee
No;geen verdere vragen
No;verder niets
No;neen
No;geen vragen
No;geen vragen meer  bedankt
Greeting;hey
Greeting;hallo
Greeting;hey daar
Greeting;goedemorgen
Greeting;goeiemorgen
Greeting;goedemiddag
Greeting;goeiemiddag
Greeting;goeienavond
Greeting;hoi
Greeting;heykes
Greeting;hallo daar
Greeting;beste
Greeting;hey yoda
Greeting;vraagje
Greeting;hey hallo
Greeting;start
Greeting;Hallo?
how are you;hoe gaat het
how are you;alles goed met jou
how are you;hoe is het
how are you;hoe ist
how are you;alles goed
how are you;alles goe
how are you;wat weer is het vandaag
how are you;alles kits
how are you;ca va
how are you;hoe gaat ie
how are you;hoe is het nog met je
who are you;wie ben jij?
who are you;wat doe jij?
who are you;ben je een robot
who are you;ben je een mens
who are you;wat voor iets ben jij?
who are you;wat ben jij
who are you;wie ben jij
who are you;wie is yoda
who are you;ben je een mens?
who are you;wie ben je?
who are you;wie ben je
who are you;hoe heet jij?
Yes;Ja
Yes;Ja graag
Yes;jep
Yes;ja hoor
Yes;absoluut
Yes;zeker
Yes;dat klopt
Yes;juist
Yes;helemaal juist
Yes;correct
Yes;correct!
Yes;ja!
Yes;ja ja
Yes;doe maar
Yes;jup
Yes;goed
Yes;ok
Yes;okay
Yes;cava
Yes;ja idd
Yes;jazeker
tell me a joke;vertel me een mop
tell me a joke;ken je mopjes
tell me a joke;vertel me een grap
tell me a joke;mopje
tell me a joke;grapje
tell me a joke;zeg eens iets grappigs
tell me a joke;ben jij grappig?
tell me a joke;welke moppen ken jij?
tell me a joke;kan je mij eens laten lachen?
