intent,expression
how are you,all good?
how are you,do you feel OK?
how are you,do you feel okay today?
how are you,everything alright with you
how are you,everything good
how are you,everything ok
how are you,how are you
how are you,how are you doing
how are you,how are you feeling?
how are you,how are you today?
how are you,how do you feel today?
how are you,how do you feel?
how are you,how have you been?
how are you,how r u
how are you,how you doin
how are you,what be the news?
how are you,what's going down?
how are you,what's happening
how are you,what's new?
how are you,what's up
Greeting,a very good day to you
Greeting,begin
Greeting,dear
Greeting,g'day
Greeting,get started
Greeting,go
Greeting,good afternoon
Greeting,good day
Greeting,good evening
Greeting,good morning
Greeting,goodday
Greeting,hello
Greeting,hello there
Greeting,hello?
Greeting,hey
Greeting,hey there
Greeting,hi
Greeting,hi there
Greeting,question
Greeting,start
Yes,alright
Yes,alright then
Yes,certainly
Yes,correct
Yes,correct!
Yes,fine
Yes,go ahead
Yes,good
Yes,ok
Yes,okay
Yes,right
Yes,sure
Yes,sure thing
Yes,that’s right
Yes,very true
Yes,yep
Yes,yes
Yes,yes please
Yes,yes yes
Yes,yes!
thank you,highly appreciated
thank you,i enjoyed talking to you
thank you,i really enjoyed this experience
thank you,i've enjoyed our conversation
thank you,it was great talking to you
thank you,much appreciated
thank you,thank you
thank you,thank you for helping me
thank you,thank you so much
thank you,thank you very much
thank you,thanks
thank you,thanks a bunch
thank you,thanks a lot
thank you,thanks for the help
thank you,this was a good experience
thank you,thx
thank you,thx!
thank you,you have been a great help
thank you,"you have been a great help, thanks"
thank you,you're a lifesaver
who are you,am i talking to a human
who are you,am i talking to a representative
who are you,are you a bot?
who are you,are you a person
who are you,are you a robot
who are you,are you really a bot?
who are you,i am not sure about your identity
who are you,not sure who i am talking to
who are you,what are you
who are you,what can i call you?
who are you,what can you do?
who are you,what kind of thing are you
who are you,what’s your name?
who are you,who am I talking to?
who are you,who are you?
who are you,who dis?
who are you,who is on the other end
who are you,who is this
who are you,who is this?
who are you,your identity is a mystery
tell me a joke,a joke now
tell me a joke,any wisecracks you can share?
tell me a joke,are you a funny bot
tell me a joke,are you funny?
tell me a joke,can you make me laugh?
tell me a joke,do you know a pun?
tell me a joke,do you know any jokes?
tell me a joke,do you know any puns?
tell me a joke,humor me
tell me a joke,i want to laugh
tell me a joke,joke
tell me a joke,joke please
tell me a joke,tell me a funny
tell me a joke,tell me a gag
tell me a joke,tell me a joke
tell me a joke,tell me another joke
tell me a joke,tell me something funny
tell me a joke,time for a joke
tell me a joke,time to make me laugh
tell me a joke,which jokes do you know?
No,absolutely not
No,bad move
No,certainly not
No,don’t do that
No,no
No,no more questsions
No,no no
No,no other questions
No,no that's wrong
No,no!
No,nope
No,nothing
No,please don't
No,that's a mistake
No,that's wrong
No,that’s totally wrong
No,wrong
No,you're mistaken
No,you're wrong
No,you’re wrong
